Main Role,Sub Role,Question Number,Difficulty,Question
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,1,easy,What is the difference between QA and QC?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,2,mid,Explain the Software Testing Life Cycle (STLC).
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,3,high,What are positive and negative test cases?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,4,easy,What is regression testing and why is it important?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,5,mid,Define smoke testing with an example.
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,6,high,What is a test scenario? How is it different from a test case?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,7,easy,What is acceptance testing and who performs it?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,8,mid,Explain the bug/defect life cycle.
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,9,high,"What are the different levels of testing (unit, integration, system)?"
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,10,easy,What is exploratory testing? When would you apply it?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,11,mid,What are boundary value analysis and equivalence partitioning?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,12,high,What is usability testing? Provide an example.
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,13,easy,How do you write a clear bug report?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,14,mid,What is a test plan and why is it important?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,15,high,What is the difference between verification and validation?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,16,easy,Explain end-to-end testing with an example.
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,17,mid,What are high-level vs low-level test cases?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,18,high,What is the purpose of a traceability matrix?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,19,easy,What is localization and globalization testing?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,20,mid,What is the difference between functional and non-functional testing?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,21,high,How do you decide when to stop testing?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,22,easy,What is pair testing?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,23,mid,What is monkey testing?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,24,high,Explain ad-hoc testing.
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,25,easy,What is compatibility testing?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,26,mid,What are test deliverables?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,27,high,What is the role of a QA Tester in Agile?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,28,easy,How do you prioritize test cases when time is limited?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,29,mid,What is a blocker bug?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,30,high,How would you test a calculator app?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,31,easy,How would you test a login page?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,32,mid,What is cross-browser testing?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,33,high,What is data-driven testing?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,34,easy,How do you test dropdown menus?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,35,mid,What is black box testing?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,36,high,What is white box testing?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,37,easy,What is gray box testing?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,38,mid,What is integration testing?
Quality Assurance (QA) / Test Engineer,QA Tester / Associate QA Engineer,39,high,What is system testing?
