Main Role,Sub Role,Question Number,Difficulty,Question
UI/UX Designer,Junior UX Designer,1,easy,What is the difference between UI and UX design?
UI/UX Designer,Junior UX Designer,2,mid,What are wireframes and why are they important?
UI/UX Designer,Junior UX Designer,3,high,What tools do you use for wireframing and prototyping?
UI/UX Designer,Junior UX Designer,4,easy,What is a user persona?
UI/UX Designer,Junior UX Designer,5,mid,What is usability testing?
UI/UX Designer,Junior UX Designer,6,high,How do you conduct a basic user interview?
UI/UX Designer,Junior UX Designer,7,easy,What are the principles of good UX design?
UI/UX Designer,Junior UX Designer,8,mid,What is the purpose of a mood board?
UI/UX Designer,Junior UX Designer,9,high,What is an empathy map?
UI/UX Designer,Junior UX Designer,10,easy,What is a customer journey map?
UI/UX Designer,Junior UX Designer,11,mid,What is information architecture?
UI/UX Designer,Junior UX Designer,12,high,What are low-fidelity vs high-fidelity prototypes?
UI/UX Designer,Junior UX Designer,13,easy,What is heuristic evaluation?
UI/UX Designer,Junior UX Designer,14,mid,What is accessibility in design?
UI/UX Designer,Junior UX Designer,15,high,What is the role of typography in UI design?
UI/UX Designer,Junior UX Designer,16,easy,What is the difference between mobile-first and responsive design?
UI/UX Designer,Junior UX Designer,17,mid,What is color theory and why is it important in UI design?
UI/UX Designer,Junior UX Designer,18,high,What is the golden ratio in design?
UI/UX Designer,Junior UX Designer,19,easy,What are microinteractions in UI?
UI/UX Designer,Junior UX Designer,20,mid,What is card sorting in UX research?
UI/UX Designer,Junior UX Designer,21,high,What is A/B testing in design?
UI/UX Designer,Junior UX Designer,22,easy,What is a design system?
UI/UX Designer,Junior UX Designer,23,mid,What are affordances in UI design?
UI/UX Designer,Junior UX Designer,24,high,What is the importance of consistency in UI?
UI/UX Designer,Junior UX Designer,25,easy,What is skeuomorphic design?
UI/UX Designer,Junior UX Designer,26,mid,What is flat design?
UI/UX Designer,Junior UX Designer,27,high,What are the key principles of Gestalt psychology in design?
UI/UX Designer,Junior UX Designer,28,easy,What is a design sprint?
UI/UX Designer,Junior UX Designer,29,mid,What is a style guide in UI/UX?
UI/UX Designer,Junior UX Designer,30,high,What is responsive grid layout?
UI/UX Designer,Junior UX Designer,31,easy,What is the importance of whitespace in design?
UI/UX Designer,Junior UX Designer,32,mid,What are wireflow diagrams?
UI/UX Designer,Junior UX Designer,33,high,What is usability heuristics by Nielsen?
