Main Role,Sub Role,Question number,difficulty,question
AI / ML Engineer,Junior ML Engineer,1,easy,Explain Supervised vs unsupervised learning with an example. (Q-1)
AI / ML Engineer,Junior ML Engineer,2,easy,What is Linear regression basics and why is it important? (Q-2)
AI / ML Engineer,Junior ML Engineer,3,easy,Describe the steps involved in Logistic regression basics. (Q-3)
AI / ML Engineer,Junior ML Engineer,4,easy,How would you troubleshoot issues in Overfitting and underfitting? (Q-4)
AI / ML Engineer,Junior ML Engineer,5,easy,Explain Train/test split with an example. (Q-5)
AI / ML Engineer,Junior ML Engineer,6,easy,What is Cross-validation basics and why is it important? (Q-6)
AI / ML Engineer,Junior ML Engineer,7,easy,Describe the steps involved in Bias-variance tradeoff. (Q-7)
AI / ML Engineer,Junior ML Engineer,8,easy,How would you troubleshoot issues in Gradient descent basics? (Q-8)
AI / ML Engineer,Junior ML Engineer,9,easy,Explain Feature scaling basics with an example. (Q-9)
AI / ML Engineer,Junior ML Engineer,10,easy,What is One-hot encoding and why is it important? (Q-10)
AI / ML Engineer,Junior ML Engineer,11,easy,Describe the steps involved in Label encoding. (Q-11)
AI / ML Engineer,Junior ML Engineer,12,easy,How would you troubleshoot issues in Basic data preprocessing? (Q-12)
AI / ML Engineer,Junior ML Engineer,13,easy,Explain Handling missing values with an example. (Q-13)
AI / ML Engineer,Junior ML Engineer,14,easy,What is Outlier detection basics and why is it important? (Q-14)
AI / ML Engineer,Junior ML Engineer,15,easy,Describe the steps involved in Confusion matrix basics. (Q-15)
AI / ML Engineer,Junior ML Engineer,16,easy,How would you troubleshoot issues in Precision and recall basics? (Q-16)
AI / ML Engineer,Junior ML Engineer,17,easy,Explain F1 score basics with an example. (Q-17)
AI / ML Engineer,Junior ML Engineer,18,easy,What is ROC curve basics and why is it important? (Q-18)
AI / ML Engineer,Junior ML Engineer,19,easy,Describe the steps involved in Hyperparameter tuning basics. (Q-19)
AI / ML Engineer,Junior ML Engineer,20,easy,How would you troubleshoot issues in Random forest basics? (Q-20)
AI / ML Engineer,Junior ML Engineer,21,mid,Explain Decision tree basics with an example. (Q-21)
AI / ML Engineer,Junior ML Engineer,22,mid,What is KNN basics and why is it important? (Q-22)
AI / ML Engineer,Junior ML Engineer,23,mid,Describe the steps involved in Naive Bayes basics. (Q-23)
AI / ML Engineer,Junior ML Engineer,24,mid,How would you troubleshoot issues in Support vector machine basics? (Q-24)
AI / ML Engineer,Junior ML Engineer,25,mid,Explain Clustering basics with an example. (Q-25)
AI / ML Engineer,Junior ML Engineer,26,mid,What is K-means clustering basics and why is it important? (Q-26)
AI / ML Engineer,Junior ML Engineer,27,mid,Describe the steps involved in PCA basics. (Q-27)
AI / ML Engineer,Junior ML Engineer,28,mid,How would you troubleshoot issues in Simple neural network basics? (Q-28)
AI / ML Engineer,Junior ML Engineer,29,mid,Explain Activation functions basics with an example. (Q-29)
AI / ML Engineer,Junior ML Engineer,30,mid,What is Loss functions basics and why is it important? (Q-30)
AI / ML Engineer,Junior ML Engineer,31,mid,Describe the steps involved in Gradient vanishing basics. (Q-31)
AI / ML Engineer,Junior ML Engineer,32,mid,How would you troubleshoot issues in Learning rate basics? (Q-32)
AI / ML Engineer,Junior ML Engineer,33,mid,Explain Batch vs epoch basics with an example. (Q-33)
AI / ML Engineer,Junior ML Engineer,34,mid,What is Mini-batch gradient descent and why is it important? (Q-34)
AI / ML Engineer,Junior ML Engineer,35,mid,Describe the steps involved in Shuffling data importance. (Q-35)
AI / ML Engineer,Junior ML Engineer,36,mid,How would you troubleshoot issues in Train-validation-test split? (Q-36)
AI / ML Engineer,Junior ML Engineer,37,mid,Explain Regularization basics with an example. (Q-37)
AI / ML Engineer,Junior ML Engineer,38,mid,What is Dropout basics and why is it important? (Q-38)
AI / ML Engineer,Junior ML Engineer,39,mid,Describe the steps involved in Simple NLP preprocessing. (Q-39)
AI / ML Engineer,Junior ML Engineer,40,mid,How would you troubleshoot issues in Bag of words basics? (Q-40)
AI / ML Engineer,Junior ML Engineer,41,high,Explain TF-IDF basics with an example. (Q-41)
AI / ML Engineer,Junior ML Engineer,42,high,What is Word embeddings basics and why is it important? (Q-42)
AI / ML Engineer,Junior ML Engineer,43,high,Describe the steps involved in Data augmentation basics. (Q-43)
AI / ML Engineer,Junior ML Engineer,44,high,How would you troubleshoot issues in Basic CNN concepts? (Q-44)
AI / ML Engineer,Junior ML Engineer,45,high,Explain Pooling layer basics with an example. (Q-45)
AI / ML Engineer,Junior ML Engineer,46,high,What is Basic RNN concepts and why is it important? (Q-46)
AI / ML Engineer,Junior ML Engineer,47,high,Describe the steps involved in Time series basics. (Q-47)
AI / ML Engineer,Junior ML Engineer,48,high,How would you troubleshoot issues in Overfitting in deep learning? (Q-48)
AI / ML Engineer,Junior ML Engineer,49,high,Explain Basic ML model deployment with an example. (Q-49)
AI / ML Engineer,Junior ML Engineer,50,high,What is ML pipelines basics and why is it important? (Q-50)
AI / ML Engineer,ML Engineer / AI Engineer,1,easy,How would you implement Building ML pipelines in practice? (Q-1)
AI / ML Engineer,ML Engineer / AI Engineer,2,easy,What are best practices for Model versioning? (Q-2)
AI / ML Engineer,ML Engineer / AI Engineer,3,easy,What tools help with Experiment tracking? (Q-3)
AI / ML Engineer,ML Engineer / AI Engineer,4,easy,What pitfalls exist when working with Model evaluation metrics? (Q-4)
