Main Role,Sub Role,Question number,difficulty,question
Business Analyst,Associate Business Analyst,1,easy,What is the role of a business analyst? (variant 1)
Business Analyst,Associate Business Analyst,2,easy,Explain requirements gathering in simple terms. (variant 1)
Business Analyst,Associate Business Analyst,3,easy,What are functional vs. non-functional requirements? (variant 1)
Business Analyst,Associate Business Analyst,4,easy,How do you differentiate between a stakeholder and an end-user? (variant 1)
Business Analyst,Associate Business Analyst,5,easy,What is a use case? Provide an example. (variant 1)
Business Analyst,Associate Business Analyst,6,easy,Explain what a process flow diagram is. (variant 1)
Business Analyst,Associate Business Analyst,7,easy,What is the purpose of requirement documentation? (variant 1)
Business Analyst,Associate Business Analyst,8,easy,How do you handle missing information during requirements gathering? (variant 1)
Business Analyst,Associate Business Analyst,9,easy,What is a wireframe and when is it used? (variant 1)
Business Analyst,Associate Business Analyst,10,easy,Describe the importance of active listening for a BA. (variant 1)
Business Analyst,Associate Business Analyst,11,easy,What is the role of a business analyst? (variant 2)
Business Analyst,Associate Business Analyst,12,easy,Explain requirements gathering in simple terms. (variant 2)
Business Analyst,Associate Business Analyst,13,easy,What are functional vs. non-functional requirements? (variant 2)
Business Analyst,Associate Business Analyst,14,easy,How do you differentiate between a stakeholder and an end-user? (variant 2)
Business Analyst,Associate Business Analyst,15,easy,What is a use case? Provide an example. (variant 2)
Business Analyst,Associate Business Analyst,16,easy,Explain what a process flow diagram is. (variant 2)
Business Analyst,Associate Business Analyst,17,easy,What is the purpose of requirement documentation? (variant 2)
Business Analyst,Associate Business Analyst,18,easy,How do you handle missing information during requirements gathering? (variant 2)
Business Analyst,Associate Business Analyst,19,easy,What is a wireframe and when is it used? (variant 2)
Business Analyst,Associate Business Analyst,20,easy,Describe the importance of active listening for a BA. (variant 2)
Business Analyst,Associate Business Analyst,21,mid,How would you conduct a stakeholder interview effectively? (variant 1)
Business Analyst,Associate Business Analyst,22,mid,Explain difference between Agile and Waterfall methodology in context of BA work. (variant 1)
Business Analyst,Associate Business Analyst,23,mid,What is the purpose of a requirements traceability matrix? (variant 1)
Business Analyst,Associate Business Analyst,24,mid,Describe the steps to perform a gap analysis. (variant 1)
Business Analyst,Associate Business Analyst,25,mid,Explain user stories and acceptance criteria. (variant 1)
Business Analyst,Associate Business Analyst,26,mid,How would you prioritize conflicting stakeholder requirements? (variant 1)
Business Analyst,Associate Business Analyst,27,mid,What are the advantages of prototyping? (variant 1)
Business Analyst,Associate Business Analyst,28,mid,Explain the MoSCoW prioritization technique. (variant 1)
Business Analyst,Associate Business Analyst,29,mid,How do you validate requirements with stakeholders? (variant 1)
Business Analyst,Associate Business Analyst,30,mid,What are business rules and why are they important? (variant 1)
Business Analyst,Associate Business Analyst,31,mid,How would you conduct a stakeholder interview effectively? (variant 2)
Business Analyst,Associate Business Analyst,32,mid,Explain difference between Agile and Waterfall methodology in context of BA work. (variant 2)
Business Analyst,Associate Business Analyst,33,mid,What is the purpose of a requirements traceability matrix? (variant 2)
Business Analyst,Associate Business Analyst,34,mid,Describe the steps to perform a gap analysis. (variant 2)
Business Analyst,Associate Business Analyst,35,mid,Explain user stories and acceptance criteria. (variant 2)
