Main Role,Sub Role,Question number,difficulty,question
Cloud Engineer,Associate Cloud Engineer,1,easy,"Explain Basic cloud service models (IaaS, PaaS, SaaS) in simple terms. (Q-1)"
Cloud Engineer,Associate Cloud Engineer,2,easy,What is Cloud regions and zones and why is it important for beginners? (Q-2)
Cloud Engineer,Associate Cloud Engineer,3,easy,Give steps to configure Virtual machine provisioning. (Q-3)
Cloud Engineer,Associate Cloud Engineer,4,easy,How would you troubleshoot issues with Basic networking in cloud? (Q-4)
Cloud Engineer,Associate Cloud Engineer,5,easy,Explain Load balancer basics in simple terms. (Q-5)
Cloud Engineer,Associate Cloud Engineer,6,easy,What is Cloud storage types and why is it important for beginners? (Q-6)
Cloud Engineer,Associate Cloud Engineer,7,easy,Give steps to configure Object storage basics. (Q-7)
Cloud Engineer,Associate Cloud Engineer,8,easy,How would you troubleshoot issues with Block storage basics? (Q-8)
Cloud Engineer,Associate Cloud Engineer,9,easy,Explain File storage basics in simple terms. (Q-9)
Cloud Engineer,Associate Cloud Engineer,10,easy,What is Cloud CLI usage and why is it important for beginners? (Q-10)
Cloud Engineer,Associate Cloud Engineer,11,easy,Give steps to configure Cloud SDK usage. (Q-11)
Cloud Engineer,Associate Cloud Engineer,12,easy,How would you troubleshoot issues with Cloud IAM basics? (Q-12)
Cloud Engineer,Associate Cloud Engineer,13,easy,Explain Service accounts in simple terms. (Q-13)
Cloud Engineer,Associate Cloud Engineer,14,easy,What is Cloud monitoring basics and why is it important for beginners? (Q-14)
Cloud Engineer,Associate Cloud Engineer,15,easy,Give steps to configure Cloud logging basics. (Q-15)
Cloud Engineer,Associate Cloud Engineer,16,easy,How would you troubleshoot issues with Creating VPC networks? (Q-16)
Cloud Engineer,Associate Cloud Engineer,17,easy,Explain Subnets and IP ranges in simple terms. (Q-17)
Cloud Engineer,Associate Cloud Engineer,18,easy,What is Firewall rules basics and why is it important for beginners? (Q-18)
Cloud Engineer,Associate Cloud Engineer,19,easy,Give steps to configure Simple autoscaling concept. (Q-19)
Cloud Engineer,Associate Cloud Engineer,20,easy,How would you troubleshoot issues with Cloud billing basics? (Q-20)
Cloud Engineer,Associate Cloud Engineer,21,mid,Explain Instance templates in simple terms. (Q-21)
Cloud Engineer,Associate Cloud Engineer,22,mid,What is Snapshots basics and why is it important for beginners? (Q-22)
Cloud Engineer,Associate Cloud Engineer,23,mid,Give steps to configure Basic backup concepts. (Q-23)
Cloud Engineer,Associate Cloud Engineer,24,mid,How would you troubleshoot issues with Cloud tags and labels? (Q-24)
Cloud Engineer,Associate Cloud Engineer,25,mid,Explain Cloud console navigation in simple terms. (Q-25)
Cloud Engineer,Associate Cloud Engineer,26,mid,What is Basic Kubernetes cluster deployment and why is it important for beginners? (Q-26)
Cloud Engineer,Associate Cloud Engineer,27,mid,Give steps to configure Cloud database basics. (Q-27)
Cloud Engineer,Associate Cloud Engineer,28,mid,How would you troubleshoot issues with Cloud function basics? (Q-28)
Cloud Engineer,Associate Cloud Engineer,29,mid,Explain Serverless intro in simple terms. (Q-29)
Cloud Engineer,Associate Cloud Engineer,30,mid,What is Cloud DNS basics and why is it important for beginners? (Q-30)
Cloud Engineer,Associate Cloud Engineer,31,mid,Give steps to configure Cloud marketplace usage. (Q-31)
Cloud Engineer,Associate Cloud Engineer,32,mid,How would you troubleshoot issues with Cloud VPN basics? (Q-32)
Cloud Engineer,Associate Cloud Engineer,33,mid,Explain Cloud NAT basics in simple terms. (Q-33)
Cloud Engineer,Associate Cloud Engineer,34,mid,What is Basic API usage and why is it important for beginners? (Q-34)
Cloud Engineer,Associate Cloud Engineer,35,mid,Give steps to configure Cloud quota limits. (Q-35)
Cloud Engineer,Associate Cloud Engineer,36,mid,How would you troubleshoot issues with Scaling instances? (Q-36)
Cloud Engineer,Associate Cloud Engineer,37,mid,"Explain Resource hierarchy (org, folder, project) in simple terms. (Q-37)"
Cloud Engineer,Associate Cloud Engineer,38,mid,What is Simple deployment manager usage and why is it important for beginners? (Q-38)
Cloud Engineer,Associate Cloud Engineer,39,mid,Give steps to configure Basic cloud compliance concepts. (Q-39)
Cloud Engineer,Associate Cloud Engineer,40,mid,How would you troubleshoot issues with Encryption at rest basics? (Q-40)
Cloud Engineer,Associate Cloud Engineer,41,high,Explain Encryption in transit basics in simple terms. (Q-41)
Cloud Engineer,Associate Cloud Engineer,42,high,What is Cloud health checks and why is it important for beginners? (Q-42)
Cloud Engineer,Associate Cloud Engineer,43,high,Give steps to configure Cloud IAM roles. (Q-43)
Cloud Engineer,Associate Cloud Engineer,44,high,How would you troubleshoot issues with Service endpoints basics? (Q-44)
Cloud Engineer,Associate Cloud Engineer,45,high,Explain Basic load testing in cloud in simple terms. (Q-45)
Cloud Engineer,Associate Cloud Engineer,46,high,What is Cloud caching basics and why is it important for beginners? (Q-46)
Cloud Engineer,Associate Cloud Engineer,47,high,Give steps to configure Reserved vs on-demand instances. (Q-47)
Cloud Engineer,Associate Cloud Engineer,48,high,How would you troubleshoot issues with Spot/preemptible instances basics? (Q-48)
Cloud Engineer,Associate Cloud Engineer,49,high,Explain Basic hybrid cloud concept in simple terms. (Q-49)
Cloud Engineer,Associate Cloud Engineer,50,high,What is Basic multi-cloud concept and why is it important for beginners? (Q-50)
Cloud Engineer,Cloud Engineer,1,easy,How do you implement Cloud VPC design in production? (Q-1)
Cloud Engineer,Cloud Engineer,2,easy,What are best practices for Subnetting in cloud networks? (Q-2)
Cloud Engineer,Cloud Engineer,3,easy,Which tools are useful for Custom IAM roles? (Q-3)
Cloud Engineer,Cloud Engineer,4,easy,What pitfalls should be avoided in Cloud firewall design? (Q-4)
Cloud Engineer,Cloud Engineer,5,easy,How do you implement Cloud storage lifecycle policies in production? (Q-5)
Cloud Engineer,Cloud Engineer,6,easy,What are best practices for Load balancer configuration? (Q-6)
Cloud Engineer,Cloud Engineer,7,easy,Which tools are useful for Cloud CDN usage? (Q-7)
Cloud Engineer,Cloud Engineer,8,easy,What pitfalls should be avoided in Cloud database scaling? (Q-8)
Cloud Engineer,Cloud Engineer,9,easy,How do you implement Cloud monitoring dashboards in production? (Q-9)
Cloud Engineer,Cloud Engineer,10,easy,What are best practices for Cloud logging exports? (Q-10)
Cloud Engineer,Cloud Engineer,11,easy,Which tools are useful for Cloud alerting policies? (Q-11)
Cloud Engineer,Cloud Engineer,12,easy,What pitfalls should be avoided in Secrets management? (Q-12)
Cloud Engineer,Cloud Engineer,13,easy,How do you implement Cloud key management services in production? (Q-13)
Cloud Engineer,Cloud Engineer,14,easy,What are best practices for Cloud VPN configuration? (Q-14)
Cloud Engineer,Cloud Engineer,15,easy,Which tools are useful for Hybrid connectivity basics? (Q-15)
Cloud Engineer,Cloud Engineer,16,easy,What pitfalls should be avoided in Direct interconnect? (Q-16)
Cloud Engineer,Cloud Engineer,17,easy,How do you implement Peering concepts in production? (Q-17)
Cloud Engineer,Cloud Engineer,18,easy,What are best practices for High availability designs? (Q-18)
Cloud Engineer,Cloud Engineer,19,easy,Which tools are useful for Disaster recovery designs? (Q-19)
Cloud Engineer,Cloud Engineer,20,easy,What pitfalls should be avoided in Multi-region deployments? (Q-20)
Cloud Engineer,Cloud Engineer,21,mid,How do you implement Container orchestration in cloud in production? (Q-21)
Cloud Engineer,Cloud Engineer,22,mid,What are best practices for Kubernetes on cloud? (Q-22)
