Main Role,Sub Role,Question number,difficulty,question
Consultant (Tech / Business),Associate Consultant,1,easy,How do you manage confidential client data?
Consultant (Tech / Business),Associate Consultant,2,easy,Scenario 12: How would you advise a retail client on supply chain optimization?
Consultant (Tech / Business),Associate Consultant,3,easy,Scenario 7: How would you advise a technology client on M&A integration?
Consultant (Tech / Business),Associate Consultant,4,easy,Scenario 6: How would you advise a healthcare client on financial restructuring?
Consultant (Tech / Business),Associate Consultant,5,easy,What is the role of an Associate Consultant?
Consultant (Tech / Business),Associate Consultant,6,easy,How do you prepare client deliverables?
Consultant (Tech / Business),Associate Consultant,7,easy,What is your experience with PowerPoint presentations?
Consultant (Tech / Business),Associate Consultant,8,easy,What tools do you use for data analysis?
Consultant (Tech / Business),Associate Consultant,9,easy,What is your approach to market analysis?
Consultant (Tech / Business),Associate Consultant,10,easy,What is your approach to problem-solving in consulting?
Consultant (Tech / Business),Associate Consultant,11,easy,What’s your experience with business process mapping?
Consultant (Tech / Business),Associate Consultant,12,easy,Scenario 11: How would you advise a retail client on digital transformation?
Consultant (Tech / Business),Associate Consultant,13,easy,What is the importance of industry research in consulting?
Consultant (Tech / Business),Associate Consultant,14,easy,How do you use data visualization in consulting?
Consultant (Tech / Business),Associate Consultant,15,easy,Scenario 10: How would you advise a retail client on supply chain optimization?
Consultant (Tech / Business),Associate Consultant,16,easy,What is your experience with Microsoft Excel or Google Sheets?
Consultant (Tech / Business),Associate Consultant,17,easy,Scenario 17: How would you advise a healthcare client on digital transformation?
Consultant (Tech / Business),Associate Consultant,18,easy,Scenario 18: How would you advise a retail client on digital transformation?
Consultant (Tech / Business),Associate Consultant,19,mid,How do you gather requirements from clients?
Consultant (Tech / Business),Associate Consultant,20,mid,Scenario 3: How would you advise a retail client on digital transformation?
Consultant (Tech / Business),Associate Consultant,21,mid,How do you document client discussions?
Consultant (Tech / Business),Associate Consultant,22,mid,What motivates you to work in consulting?
Consultant (Tech / Business),Associate Consultant,23,mid,What is your approach to handling deadlines?
Consultant (Tech / Business),Associate Consultant,24,mid,Scenario 21: How would you advise a healthcare client on digital transformation?
Consultant (Tech / Business),Associate Consultant,25,mid,Scenario 8: How would you advise a technology client on supply chain optimization?
Consultant (Tech / Business),Associate Consultant,26,mid,What role does teamwork play in consulting?
Consultant (Tech / Business),Associate Consultant,27,mid,What does client communication mean to you?
Consultant (Tech / Business),Associate Consultant,28,mid,Scenario 25: How would you advise a technology client on digital transformation?
Consultant (Tech / Business),Associate Consultant,29,mid,How do you conduct basic client research?
Consultant (Tech / Business),Associate Consultant,30,mid,Scenario 13: How would you advise a healthcare client on supply chain optimization?
Consultant (Tech / Business),Associate Consultant,31,mid,Scenario 20: How would you advise a healthcare client on digital transformation?
Consultant (Tech / Business),Associate Consultant,32,mid,How do you adapt quickly to new client industries?
Consultant (Tech / Business),Associate Consultant,33,mid,How do you manage your time when working on multiple tasks?
Consultant (Tech / Business),Associate Consultant,34,mid,How do you structure a consulting engagement?
Consultant (Tech / Business),Associate Consultant,35,mid,Scenario 23: How would you advise a healthcare client on financial restructuring?
Consultant (Tech / Business),Associate Consultant,36,mid,What’s your understanding of SWOT analysis?
Consultant (Tech / Business),Associate Consultant,37,mid,Scenario 24: How would you advise a banking client on financial restructuring?
