Main Role,Sub Role,Question number,difficulty,question
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,1,easy,Scenario 21: How would you handle a high-priority escalation reported via email?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,2,easy,What is Net Promoter Score (NPS)?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,3,easy,Scenario 13: How would you handle a churn-risk client reported via live chat?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,4,easy,How do you measure customer satisfaction (CSAT)?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,5,easy,What metrics define good customer support?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,6,easy,Scenario 7: How would you handle a VIP account issue reported via live chat?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,7,easy,What is your approach to active listening?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,8,easy,What steps do you take before escalating a ticket?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,9,easy,How do you document customer issues?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,10,easy,What tools have you used for customer support?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,11,easy,How do you handle an angry customer over the phone?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,12,easy,Scenario 11: How would you handle a angry customer reported via live chat?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,13,easy,Scenario 15: How would you handle a VIP account issue reported via in-person?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,14,easy,Scenario 18: How would you handle a angry customer reported via email?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,15,easy,What makes excellent customer service?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,16,easy,How do you stay calm under pressure?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,17,easy,Scenario 6: How would you handle a high-priority escalation reported via in-person?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,18,easy,How do you deal with customers who refuse to follow instructions?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,19,mid,Scenario 24: How would you handle a angry customer reported via email?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,20,mid,How do you prioritize multiple support tickets?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,21,mid,Scenario 25: How would you handle a angry customer reported via email?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,22,mid,How do you explain technical details to non-technical customers?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,23,mid,Scenario 9: How would you handle a VIP account issue reported via live chat?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,24,mid,What is the importance of empathy in customer service?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,25,mid,How do you handle repetitive questions from customers?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,26,mid,What is the difference between live chat and email support?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,27,mid,Scenario 19: How would you handle a VIP account issue reported via email?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,28,mid,Scenario 3: How would you handle a high-priority escalation reported via phone?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,29,mid,How do you reduce customer churn?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,30,mid,Scenario 16: How would you handle a VIP account issue reported via live chat?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,31,mid,How do you ensure customer satisfaction?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,32,mid,What is your process for closing resolved tickets?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,33,mid,How do you handle confidential customer information?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,34,mid,Scenario 4: How would you handle a churn-risk client reported via in-person?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,35,mid,Scenario 2: How would you handle a angry customer reported via email?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,36,mid,Scenario 17: How would you handle a high-priority escalation reported via email?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,37,mid,What is your experience with helpdesk software?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,38,mid,What is your approach to proactive customer support?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,39,high,Scenario 10: How would you handle a VIP account issue reported via live chat?
Customer Support / Client Relationship Manager,Support Associate / Helpdesk Executive,40,high,What does customer-centric service mean to you?
