Main Role,Sub Role,Question number,difficulty,question
Cybersecurity Analyst / Security Engineer,Security Analyst,1,easy,Explain Malware analysis basics with a simple real-world example. (Q-1)
Cybersecurity Analyst / Security Engineer,Security Analyst,2,easy,What is Phishing email detection and how would you investigate it as an analyst? (Q-2)
Cybersecurity Analyst / Security Engineer,Security Analyst,3,easy,Describe common tools used for Log analysis. (Q-3)
Cybersecurity Analyst / Security Engineer,Security Analyst,4,easy,How would you document findings about Network packet inspection? (Q-4)
Cybersecurity Analyst / Security Engineer,Security Analyst,5,easy,Explain IDS vs IPS with a simple real-world example. (Q-5)
Cybersecurity Analyst / Security Engineer,Security Analyst,6,easy,What is SIEM basics and how would you investigate it as an analyst? (Q-6)
Cybersecurity Analyst / Security Engineer,Security Analyst,7,easy,Describe common tools used for Common attack vectors. (Q-7)
Cybersecurity Analyst / Security Engineer,Security Analyst,8,easy,How would you document findings about OWASP Top 10 overview? (Q-8)
Cybersecurity Analyst / Security Engineer,Security Analyst,9,easy,Explain Vulnerability scanning basics with a simple real-world example. (Q-9)
Cybersecurity Analyst / Security Engineer,Security Analyst,10,easy,What is Password policies and how would you investigate it as an analyst? (Q-10)
Cybersecurity Analyst / Security Engineer,Security Analyst,11,easy,Describe common tools used for MFA concepts. (Q-11)
Cybersecurity Analyst / Security Engineer,Security Analyst,12,easy,How would you document findings about Basic encryption concepts? (Q-12)
Cybersecurity Analyst / Security Engineer,Security Analyst,13,easy,Explain Access control models with a simple real-world example. (Q-13)
Cybersecurity Analyst / Security Engineer,Security Analyst,14,easy,What is Incident reporting and how would you investigate it as an analyst? (Q-14)
Cybersecurity Analyst / Security Engineer,Security Analyst,15,easy,Describe common tools used for Security awareness training. (Q-15)
Cybersecurity Analyst / Security Engineer,Security Analyst,16,easy,How would you document findings about Firewall rule basics? (Q-16)
Cybersecurity Analyst / Security Engineer,Security Analyst,17,easy,Explain VPN basics with a simple real-world example. (Q-17)
Cybersecurity Analyst / Security Engineer,Security Analyst,18,easy,What is DNS security basics and how would you investigate it as an analyst? (Q-18)
Cybersecurity Analyst / Security Engineer,Security Analyst,19,easy,Describe common tools used for Web proxy basics. (Q-19)
Cybersecurity Analyst / Security Engineer,Security Analyst,20,easy,How would you document findings about Basic Linux hardening? (Q-20)
Cybersecurity Analyst / Security Engineer,Security Analyst,21,mid,Explain Antivirus vs EDR with a simple real-world example. (Q-21)
Cybersecurity Analyst / Security Engineer,Security Analyst,22,mid,What is Cloud security shared responsibility and how would you investigate it as an analyst? (Q-22)
Cybersecurity Analyst / Security Engineer,Security Analyst,23,mid,Describe common tools used for Brute force attacks. (Q-23)
Cybersecurity Analyst / Security Engineer,Security Analyst,24,mid,How would you document findings about Social engineering basics? (Q-24)
Cybersecurity Analyst / Security Engineer,Security Analyst,25,mid,Explain Phishing simulation exercises with a simple real-world example. (Q-25)
Cybersecurity Analyst / Security Engineer,Security Analyst,26,mid,What is TLS/SSL basics and how would you investigate it as an analyst? (Q-26)
Cybersecurity Analyst / Security Engineer,Security Analyst,27,mid,Describe common tools used for Zero-day concept. (Q-27)
Cybersecurity Analyst / Security Engineer,Security Analyst,28,mid,How would you document findings about Patch management basics? (Q-28)
Cybersecurity Analyst / Security Engineer,Security Analyst,29,mid,Explain Simple forensic imaging with a simple real-world example. (Q-29)
Cybersecurity Analyst / Security Engineer,Security Analyst,30,mid,What is Incident severity classification and how would you investigate it as an analyst? (Q-30)
Cybersecurity Analyst / Security Engineer,Security Analyst,31,mid,Describe common tools used for Threat intelligence feeds. (Q-31)
Cybersecurity Analyst / Security Engineer,Security Analyst,32,mid,How would you document findings about Indicators of compromise? (Q-32)
Cybersecurity Analyst / Security Engineer,Security Analyst,33,mid,Explain Root cause analysis basics with a simple real-world example. (Q-33)
Cybersecurity Analyst / Security Engineer,Security Analyst,34,mid,What is Session hijacking basics and how would you investigate it as an analyst? (Q-34)
Cybersecurity Analyst / Security Engineer,Security Analyst,35,mid,Describe common tools used for Ransomware overview. (Q-35)
Cybersecurity Analyst / Security Engineer,Security Analyst,36,mid,How would you document findings about Mobile device security basics? (Q-36)
Cybersecurity Analyst / Security Engineer,Security Analyst,37,mid,Explain Removable media risks with a simple real-world example. (Q-37)
Cybersecurity Analyst / Security Engineer,Security Analyst,38,mid,What is Security event correlation and how would you investigate it as an analyst? (Q-38)
Cybersecurity Analyst / Security Engineer,Security Analyst,39,mid,Describe common tools used for Vulnerability disclosure process. (Q-39)
Cybersecurity Analyst / Security Engineer,Security Analyst,40,mid,How would you document findings about Basic pen testing concepts? (Q-40)
Cybersecurity Analyst / Security Engineer,Security Analyst,41,high,Explain Botnet basics with a simple real-world example. (Q-41)
Cybersecurity Analyst / Security Engineer,Security Analyst,42,high,What is Data classification basics and how would you investigate it as an analyst? (Q-42)
Cybersecurity Analyst / Security Engineer,Security Analyst,43,high,Describe common tools used for Insider threat basics. (Q-43)
Cybersecurity Analyst / Security Engineer,Security Analyst,44,high,How would you document findings about Log retention policy? (Q-44)
Cybersecurity Analyst / Security Engineer,Security Analyst,45,high,Explain SIEM alert tuning with a simple real-world example. (Q-45)
Cybersecurity Analyst / Security Engineer,Security Analyst,46,high,What is Basic port scanning and how would you investigate it as an analyst? (Q-46)
Cybersecurity Analyst / Security Engineer,Security Analyst,47,high,Describe common tools used for Session timeouts. (Q-47)
Cybersecurity Analyst / Security Engineer,Security Analyst,48,high,How would you document findings about Least privilege concept? (Q-48)
Cybersecurity Analyst / Security Engineer,Security Analyst,49,high,Explain Common Windows attacks with a simple real-world example. (Q-49)
Cybersecurity Analyst / Security Engineer,Security Analyst,50,high,What is Keylogging basics and how would you investigate it as an analyst? (Q-50)
Cybersecurity Analyst / Security Engineer,Security Engineer,1,easy,How would you implement Secure software development lifecycle in a production environment? (Q-1)
