Main Role,Sub Role,Question number,difficulty,question
Data Analyst,Junior Data Analyst,1,easy,What is the difference between a spreadsheet and a database?
Data Analyst,Junior Data Analyst,2,easy,Explain what a pivot table is and one use-case.
Data Analyst,Junior Data Analyst,3,easy,How do you handle missing values in a dataset?
Data Analyst,Junior Data Analyst,4,easy,What are the common file formats used for tabular data?
Data Analyst,Junior Data Analyst,5,easy,What is filtering data and how is it useful?
Data Analyst,Junior Data Analyst,6,easy,Describe the purpose of basic data validation.
Data Analyst,Junior Data Analyst,7,easy,How would you find the average of a numeric column in Excel?
Data Analyst,Junior Data Analyst,8,easy,What is sorting and how does it help during EDA?
Data Analyst,Junior Data Analyst,9,easy,What does CSV stand for and why is it commonly used?
Data Analyst,Junior Data Analyst,10,easy,Explain what a column and a row represent in a dataset.
Data Analyst,Junior Data Analyst,11,easy,How do you convert text to numbers in Excel?
Data Analyst,Junior Data Analyst,12,easy,Name two common data visualization chart types and when to use them.
Data Analyst,Junior Data Analyst,13,easy,What is data entry validation and why is it important?
Data Analyst,Junior Data Analyst,14,easy,How would you remove duplicate rows in a dataset?
Data Analyst,Junior Data Analyst,15,easy,What is a primary key in a table?
Data Analyst,Junior Data Analyst,16,easy,Explain what a histogram shows about a variable.
Data Analyst,Junior Data Analyst,17,easy,What is the purpose of descriptive statistics?
Data Analyst,Junior Data Analyst,18,easy,How do you perform a simple sum aggregation in Excel or SQL?
Data Analyst,Junior Data Analyst,19,easy,What is basic data cleaning?
Data Analyst,Junior Data Analyst,20,easy,How would you split a full name into first and last name in Excel?
Data Analyst,Junior Data Analyst,21,mid,Write an SQL query to retrieve records where sales > 1000 from a table named sales.
Data Analyst,Junior Data Analyst,22,mid,How would you join two tables to combine customer info and order info? Name the join type.
Data Analyst,Junior Data Analyst,23,mid,Explain the difference between INNER JOIN and LEFT JOIN with an example.
Data Analyst,Junior Data Analyst,24,mid,How do you handle outliers in a small dataset?
Data Analyst,Junior Data Analyst,25,mid,Describe a situation where you would use VLOOKUP (or INDEX-MATCH) in Excel.
Data Analyst,Junior Data Analyst,26,mid,How would you calculate a moving average over 7 days for a time series?
Data Analyst,Junior Data Analyst,27,mid,Explain data normalization and when it is necessary.
Data Analyst,Junior Data Analyst,28,mid,"How do you detect inconsistent categorical labels (e.g., 'NY' vs 'New York')?"
Data Analyst,Junior Data Analyst,29,mid,Describe how you'd document your data cleaning steps for reproducibility.
Data Analyst,Junior Data Analyst,30,mid,Explain the difference between mean and median and when to use each.
Data Analyst,Junior Data Analyst,31,mid,How do you create a simple bar chart and what insight does it provide?
Data Analyst,Junior Data Analyst,32,mid,Describe an approach to validate data imported from another system.
Data Analyst,Junior Data Analyst,33,mid,How would you transform a long table to wide format (or vice versa)?
Data Analyst,Junior Data Analyst,34,mid,Explain the difference between continuous and categorical variables.
Data Analyst,Junior Data Analyst,35,mid,"How would you perform a basic aggregation (count, sum) grouped by a column in SQL?"
Data Analyst,Junior Data Analyst,36,mid,Describe one method to check data quality programmatically.
Data Analyst,Junior Data Analyst,37,mid,What is data type casting and why is it important?
Data Analyst,Junior Data Analyst,38,mid,Explain cross-tabulation and a use-case for it.
Data Analyst,Junior Data Analyst,39,mid,How would you handle date parsing issues when importing data?
Data Analyst,Junior Data Analyst,40,mid,Describe a scenario where you would use conditional formatting in Excel.
Data Analyst,Junior Data Analyst,41,high,"Given a dataset with missing timestamps and irregular intervals, how would you prepare it for time-series analysis?"
Data Analyst,Junior Data Analyst,42,high,How would you design a small ETL process to clean CSV files and load them into a database?
Data Analyst,Junior Data Analyst,43,high,Explain how you would estimate the impact of an incorrect data source on a report's KPIs.
Data Analyst,Junior Data Analyst,44,high,Describe steps to evaluate whether a dataset is biased and what you would do about it.
Data Analyst,Junior Data Analyst,45,high,How would you validate the accuracy of a computed field used in monthly reporting?
Data Analyst,Junior Data Analyst,46,high,Explain techniques to optimize a slow Excel workbook with many formulas and pivots.
Data Analyst,Junior Data Analyst,47,high,"Describe how you'd build a simple reproducible workflow using scripting (e.g., Python) for repeated reports."
Data Analyst,Junior Data Analyst,48,high,How would you explain data lineage to a non-technical stakeholder?
Data Analyst,Junior Data Analyst,49,high,Propose a testing strategy to ensure data quality in an ingestion pipeline.
Data Analyst,Junior Data Analyst,50,high,Explain how you would approach verifying the correctness of a merge between two large datasets.
Data Analyst,Data Analyst,1,easy,Explain SQL GROUP BY and provide a simple example.
Data Analyst,Data Analyst,2,easy,What is a JOIN in SQL and list common types?
Data Analyst,Data Analyst,3,easy,How do you interpret a boxplot?
Data Analyst,Data Analyst,4,easy,What is a KPI and give three examples relevant to sales?
Data Analyst,Data Analyst,5,easy,Explain correlation and whether it implies causation.
Data Analyst,Data Analyst,6,easy,Describe the purpose of exploratory data analysis (EDA).
Data Analyst,Data Analyst,7,easy,How would you handle date/time fields in analysis?
Data Analyst,Data Analyst,8,easy,What are NULL values in SQL and how do you treat them?
Data Analyst,Data Analyst,9,easy,Explain the difference between COUNT(*) and COUNT(column).
Data Analyst,Data Analyst,10,easy,What is a foreign key in a relational database?
Data Analyst,Data Analyst,11,easy,Name three visualizations you would use to show distribution of a variable.
Data Analyst,Data Analyst,12,easy,How do you calculate percentage change between two periods?
Data Analyst,Data Analyst,13,easy,What is a pivot chart and when would you use it?
Data Analyst,Data Analyst,14,easy,Explain the concept of a dashboard.
Data Analyst,Data Analyst,15,easy,Describe the difference between precision and recall (basic explanation).
Data Analyst,Data Analyst,16,easy,How would you check for duplicate records in SQL?
Data Analyst,Data Analyst,17,easy,What is data granularity?
Data Analyst,Data Analyst,18,easy,Explain the use of DISTINCT in SQL queries.
Data Analyst,Data Analyst,19,easy,How do you handle categorical variables before visualization?
Data Analyst,Data Analyst,20,easy,Describe a use-case for a scatter plot.
Data Analyst,Data Analyst,21,mid,Write an SQL query to find the top 5 customers by total spend from an orders table.
Data Analyst,Data Analyst,22,mid,How would you perform cohort analysis for user retention?
Data Analyst,Data Analyst,23,mid,Explain how to calculate a confidence interval for a mean.
Data Analyst,Data Analyst,24,mid,Describe the steps to design a monthly KPI dashboard for executives.
Data Analyst,Data Analyst,25,mid,How do you perform A/B test analysis and determine statistical significance?
Data Analyst,Data Analyst,26,mid,Explain one-hot encoding and when to use it.
Data Analyst,Data Analyst,27,mid,How would you use rolling aggregates to smooth noisy time-series data?
Data Analyst,Data Analyst,28,mid,Describe an approach to detect data drift between training and current data.
Data Analyst,Data Analyst,29,mid,How would you measure feature importance for a predictive model?
Data Analyst,Data Analyst,30,mid,"Explain the use of window functions (e.g., ROW_NUMBER, RANK) with example."
Data Analyst,Data Analyst,31,mid,How do you handle multicollinearity between features?
Data Analyst,Data Analyst,32,mid,Describe how you'd clean and join data from multiple CSVs with mismatched schemas.
Data Analyst,Data Analyst,33,mid,Explain the difference between supervised and unsupervised learning at a high level.
Data Analyst,Data Analyst,34,mid,How would you compute the churn rate for a subscription product?
Data Analyst,Data Analyst,35,mid,Describe how to build a funnel analysis and what insights it provides.
Data Analyst,Data Analyst,36,mid,"Write an SQL query using CASE to bucket customers into 'low','medium','high' spend based on amount."
