Main Role,Sub Role,Question number,difficulty,question
DevOps Engineer,Junior DevOps Engineer,1,easy,Explain CI/CD basics with a simple example. (Q-1)
DevOps Engineer,Junior DevOps Engineer,2,easy,What is Dockerfile creation and how would you approach it as a junior engineer? (Q-2)
DevOps Engineer,Junior DevOps Engineer,3,easy,Give steps to perform Git branching in a basic environment. (Q-3)
DevOps Engineer,Junior DevOps Engineer,4,easy,How would you troubleshoot Environment variables when it fails? (Q-4)
DevOps Engineer,Junior DevOps Engineer,5,easy,Explain Container vs VM with a simple example. (Q-5)
DevOps Engineer,Junior DevOps Engineer,6,easy,What is Basic Kubernetes objects and how would you approach it as a junior engineer? (Q-6)
DevOps Engineer,Junior DevOps Engineer,7,easy,Give steps to perform Observability basics in a basic environment. (Q-7)
DevOps Engineer,Junior DevOps Engineer,8,easy,How would you troubleshoot Logging basics when it fails? (Q-8)
DevOps Engineer,Junior DevOps Engineer,9,easy,Explain Simple networking concepts with a simple example. (Q-9)
DevOps Engineer,Junior DevOps Engineer,10,easy,What is Package managers and how would you approach it as a junior engineer? (Q-10)
DevOps Engineer,Junior DevOps Engineer,11,easy,Give steps to perform Basic shell scripting in a basic environment. (Q-11)
DevOps Engineer,Junior DevOps Engineer,12,easy,How would you troubleshoot Process monitoring when it fails? (Q-12)
DevOps Engineer,Junior DevOps Engineer,13,easy,Explain Service restarts with a simple example. (Q-13)
DevOps Engineer,Junior DevOps Engineer,14,easy,What is Config files and how would you approach it as a junior engineer? (Q-14)
DevOps Engineer,Junior DevOps Engineer,15,easy,Give steps to perform Secrets handling (conceptual) in a basic environment. (Q-15)
DevOps Engineer,Junior DevOps Engineer,16,easy,How would you troubleshoot Health checks when it fails? (Q-16)
DevOps Engineer,Junior DevOps Engineer,17,easy,Explain Simple load balancing with a simple example. (Q-17)
DevOps Engineer,Junior DevOps Engineer,18,easy,What is Basic DNS concepts and how would you approach it as a junior engineer? (Q-18)
DevOps Engineer,Junior DevOps Engineer,19,easy,Give steps to perform HTTP status codes in a basic environment. (Q-19)
DevOps Engineer,Junior DevOps Engineer,20,easy,How would you troubleshoot Permissions & users when it fails? (Q-20)
DevOps Engineer,Junior DevOps Engineer,21,mid,Explain Basic backup/restore concept with a simple example. (Q-21)
DevOps Engineer,Junior DevOps Engineer,22,mid,What is Using curl/wget and how would you approach it as a junior engineer? (Q-22)
DevOps Engineer,Junior DevOps Engineer,23,mid,Give steps to perform Simple crontab jobs in a basic environment. (Q-23)
DevOps Engineer,Junior DevOps Engineer,24,mid,How would you troubleshoot Basic YAML syntax when it fails? (Q-24)
DevOps Engineer,Junior DevOps Engineer,25,mid,Explain File system permissions with a simple example. (Q-25)
DevOps Engineer,Junior DevOps Engineer,26,mid,What is Simple package deployment and how would you approach it as a junior engineer? (Q-26)
DevOps Engineer,Junior DevOps Engineer,27,mid,Give steps to perform Understanding ports in a basic environment. (Q-27)
DevOps Engineer,Junior DevOps Engineer,28,mid,How would you troubleshoot Basic TLS/SSL concept when it fails? (Q-28)
DevOps Engineer,Junior DevOps Engineer,29,mid,Explain Understanding JSON with a simple example. (Q-29)
DevOps Engineer,Junior DevOps Engineer,30,mid,What is Using grep/awk/sed and how would you approach it as a junior engineer? (Q-30)
DevOps Engineer,Junior DevOps Engineer,31,mid,Give steps to perform Intro to IaC (conceptual) in a basic environment. (Q-31)
DevOps Engineer,Junior DevOps Engineer,32,mid,How would you troubleshoot SSH basics when it fails? (Q-32)
DevOps Engineer,Junior DevOps Engineer,33,mid,Explain Container registries with a simple example. (Q-33)
DevOps Engineer,Junior DevOps Engineer,34,mid,What is Basic performance bottlenecks and how would you approach it as a junior engineer? (Q-34)
DevOps Engineer,Junior DevOps Engineer,35,mid,Give steps to perform Simple debugging steps in a basic environment. (Q-35)
DevOps Engineer,Junior DevOps Engineer,36,mid,How would you troubleshoot System metrics (CPU/memory) when it fails? (Q-36)
DevOps Engineer,Junior DevOps Engineer,37,mid,Explain Basic service discovery with a simple example. (Q-37)
DevOps Engineer,Junior DevOps Engineer,38,mid,What is Simple rollout strategies and how would you approach it as a junior engineer? (Q-38)
DevOps Engineer,Junior DevOps Engineer,39,mid,Give steps to perform Intro to monitoring tools in a basic environment. (Q-39)
DevOps Engineer,Junior DevOps Engineer,40,mid,How would you troubleshoot Understanding HTTP headers when it fails? (Q-40)
DevOps Engineer,Junior DevOps Engineer,41,high,Explain Resource limits in containers with a simple example. (Q-41)
DevOps Engineer,Junior DevOps Engineer,42,high,What is Basic cloud concepts (what is IaaS/PaaS) and how would you approach it as a junior engineer? (Q-42)
DevOps Engineer,Junior DevOps Engineer,43,high,Give steps to perform Simple DB backup concept in a basic environment. (Q-43)
DevOps Engineer,Junior DevOps Engineer,44,high,How would you troubleshoot Understanding logs vs metrics when it fails? (Q-44)
DevOps Engineer,Junior DevOps Engineer,45,high,Explain Intro to artifact repositories with a simple example. (Q-45)
DevOps Engineer,Junior DevOps Engineer,46,high,What is Basic firewall concept and how would you approach it as a junior engineer? (Q-46)
DevOps Engineer,Junior DevOps Engineer,47,high,Give steps to perform Using systemctl in a basic environment. (Q-47)
DevOps Engineer,Junior DevOps Engineer,48,high,How would you troubleshoot Simple SSO concepts when it fails? (Q-48)
DevOps Engineer,Junior DevOps Engineer,49,high,Explain Understanding semantic versioning with a simple example. (Q-49)
DevOps Engineer,Junior DevOps Engineer,50,high,What is Basic retry/backoff concepts and how would you approach it as a junior engineer? (Q-50)
DevOps Engineer,DevOps Engineer,1,easy,Describe a practical approach to Designing CI pipelines in production. (Q-1)
DevOps Engineer,DevOps Engineer,2,easy,How have you implemented Docker multi-stage builds and what trade-offs did you consider? (Q-2)
DevOps Engineer,DevOps Engineer,3,easy,Outline best practices for Kubernetes deployments in a mid-size environment. (Q-3)
DevOps Engineer,DevOps Engineer,4,easy,What pitfalls should be avoided when implementing Helm chart basics? (Q-4)
DevOps Engineer,DevOps Engineer,5,easy,Describe a practical approach to Infrastructure as Code with Terraform in production. (Q-5)
DevOps Engineer,DevOps Engineer,6,easy,How have you implemented Blue/Green deployments and what trade-offs did you consider? (Q-6)
DevOps Engineer,DevOps Engineer,7,easy,Outline best practices for Canary releases in a mid-size environment. (Q-7)
DevOps Engineer,DevOps Engineer,8,easy,What pitfalls should be avoided when implementing Observability strategies? (Q-8)
DevOps Engineer,DevOps Engineer,9,easy,Describe a practical approach to Centralized logging in production. (Q-9)
DevOps Engineer,DevOps Engineer,10,easy,How have you implemented Secrets management tools and what trade-offs did you consider? (Q-10)
DevOps Engineer,DevOps Engineer,11,easy,Outline best practices for Service meshes (intro) in a mid-size environment. (Q-11)
DevOps Engineer,DevOps Engineer,12,easy,What pitfalls should be avoided when implementing Autoscaling policies? (Q-12)
DevOps Engineer,DevOps Engineer,13,easy,Describe a practical approach to Load testing basics in production. (Q-13)
DevOps Engineer,DevOps Engineer,14,easy,How have you implemented Network policies in Kubernetes and what trade-offs did you consider? (Q-14)
DevOps Engineer,DevOps Engineer,15,easy,Outline best practices for Persistent volumes in a mid-size environment. (Q-15)
DevOps Engineer,DevOps Engineer,16,easy,What pitfalls should be avoided when implementing Stateful workloads? (Q-16)
DevOps Engineer,DevOps Engineer,17,easy,Describe a practical approach to Immutable infrastructure in production. (Q-17)
DevOps Engineer,DevOps Engineer,18,easy,How have you implemented Artifact promotion and what trade-offs did you consider? (Q-18)
DevOps Engineer,DevOps Engineer,19,easy,Outline best practices for Release trunk-based workflows in a mid-size environment. (Q-19)
DevOps Engineer,DevOps Engineer,20,easy,What pitfalls should be avoided when implementing Monitoring SLIs/SLOs? (Q-20)
DevOps Engineer,DevOps Engineer,21,mid,Describe a practical approach to Alerting best practices in production. (Q-21)
DevOps Engineer,DevOps Engineer,22,mid,How have you implemented Backup strategies at scale and what trade-offs did you consider? (Q-22)
DevOps Engineer,DevOps Engineer,23,mid,Outline best practices for Disaster recovery fundamentals in a mid-size environment. (Q-23)
DevOps Engineer,DevOps Engineer,24,mid,What pitfalls should be avoided when implementing Rate limiting? (Q-24)
DevOps Engineer,DevOps Engineer,25,mid,Describe a practical approach to Circuit breaker pattern in production. (Q-25)
DevOps Engineer,DevOps Engineer,26,mid,How have you implemented Kubernetes RBAC and what trade-offs did you consider? (Q-26)
DevOps Engineer,DevOps Engineer,27,mid,Outline best practices for CI runners and scaling in a mid-size environment. (Q-27)
DevOps Engineer,DevOps Engineer,28,mid,What pitfalls should be avoided when implementing Container image security scanning? (Q-28)
DevOps Engineer,DevOps Engineer,29,mid,Describe a practical approach to Helm templating in production. (Q-29)
DevOps Engineer,DevOps Engineer,30,mid,How have you implemented Terraform state management and what trade-offs did you consider? (Q-30)
DevOps Engineer,DevOps Engineer,31,mid,Outline best practices for Managing service accounts in a mid-size environment. (Q-31)
DevOps Engineer,DevOps Engineer,32,mid,What pitfalls should be avoided when implementing Container orchestration choices? (Q-32)
DevOps Engineer,DevOps Engineer,33,mid,Describe a practical approach to Sidecar pattern in production. (Q-33)
DevOps Engineer,DevOps Engineer,34,mid,How have you implemented Secrets rotation strategies and what trade-offs did you consider? (Q-34)
DevOps Engineer,DevOps Engineer,35,mid,Outline best practices for Observability instrumentation (tracing basics) in a mid-size environment. (Q-35)
DevOps Engineer,DevOps Engineer,36,mid,What pitfalls should be avoided when implementing Using vaults? (Q-36)
DevOps Engineer,DevOps Engineer,37,mid,Describe a practical approach to Network troubleshooting at application layer in production. (Q-37)
DevOps Engineer,DevOps Engineer,38,mid,How have you implemented Cloud cost optimization basics and what trade-offs did you consider? (Q-38)
DevOps Engineer,DevOps Engineer,39,mid,Outline best practices for Immutable tags vs latest in a mid-size environment. (Q-39)
DevOps Engineer,DevOps Engineer,40,mid,What pitfalls should be avoided when implementing Logging format best practices? (Q-40)
DevOps Engineer,DevOps Engineer,41,high,Describe a practical approach to Container runtime differences in production. (Q-41)
DevOps Engineer,DevOps Engineer,42,high,How have you implemented CI pipeline caching and what trade-offs did you consider? (Q-42)
DevOps Engineer,DevOps Engineer,43,high,Outline best practices for Artifact storage best practices in a mid-size environment. (Q-43)
DevOps Engineer,DevOps Engineer,44,high,What pitfalls should be avoided when implementing Dependency scanning? (Q-44)
DevOps Engineer,DevOps Engineer,45,high,Describe a practical approach to Infrastructure testing (unit/integration) in production. (Q-45)
DevOps Engineer,DevOps Engineer,46,high,How have you implemented Deployment rollbacks and what trade-offs did you consider? (Q-46)
DevOps Engineer,DevOps Engineer,47,high,Outline best practices for Managing feature toggles in a mid-size environment. (Q-47)
DevOps Engineer,DevOps Engineer,48,high,What pitfalls should be avoided when implementing Kubernetes probes and readiness? (Q-48)
DevOps Engineer,DevOps Engineer,49,high,Describe a practical approach to Pod disruption budgets in production. (Q-49)
DevOps Engineer,DevOps Engineer,50,high,How have you implemented Handling noisy neighbors and what trade-offs did you consider? (Q-50)
DevOps Engineer,Senior DevOps Engineer,1,easy,Design a solution for Designing enterprise CI/CD architectures at enterprise scale and justify your choices. (Q-1)
DevOps Engineer,Senior DevOps Engineer,2,easy,How would you lead a migration involving Kubernetes cluster federation considerations across teams? (Q-2)
