Main Role,Sub Role,Question number,difficulty,question
Finance / Accountant,Junior Accountant,1,easy,How do you conduct variance analysis?
Finance / Accountant,Junior Accountant,2,easy,How do you manage accounts payable and receivable?
Finance / Accountant,Junior Accountant,3,easy,Scenario 6: How would you handle a unexpected expense?
Finance / Accountant,Junior Accountant,4,easy,Scenario 10: How would you handle a cash flow shortage?
Finance / Accountant,Junior Accountant,5,easy,Scenario 16: How would you handle a cash flow shortage?
Finance / Accountant,Junior Accountant,6,easy,What is GAAP?
Finance / Accountant,Junior Accountant,7,easy,What steps do you take to reconcile accounts?
Finance / Accountant,Junior Accountant,8,easy,How do you ensure compliance with tax regulations?
Finance / Accountant,Junior Accountant,9,easy,Scenario 3: How would you handle a audit finding?
Finance / Accountant,Junior Accountant,10,easy,What are current and non-current assets?
Finance / Accountant,Junior Accountant,11,easy,Scenario 23: How would you handle a unexpected expense?
Finance / Accountant,Junior Accountant,12,easy,Scenario 22: How would you handle a audit finding?
Finance / Accountant,Junior Accountant,13,easy,How do you ensure accuracy in financial entries?
Finance / Accountant,Junior Accountant,14,easy,What is your approach to financial forecasting?
Finance / Accountant,Junior Accountant,15,easy,Scenario 18: How would you handle a cash flow shortage?
Finance / Accountant,Junior Accountant,16,easy,What motivates you to work in accounting?
Finance / Accountant,Junior Accountant,17,easy,Scenario 1: How would you handle a audit finding?
Finance / Accountant,Junior Accountant,18,easy,Scenario 5: How would you handle a audit finding?
Finance / Accountant,Junior Accountant,19,mid,Scenario 17: How would you handle a unexpected expense?
Finance / Accountant,Junior Accountant,20,mid,What is double-entry bookkeeping?
Finance / Accountant,Junior Accountant,21,mid,Scenario 15: How would you handle a cash flow shortage?
Finance / Accountant,Junior Accountant,22,mid,Scenario 4: How would you handle a audit finding?
Finance / Accountant,Junior Accountant,23,mid,Scenario 13: How would you handle a cash flow shortage?
Finance / Accountant,Junior Accountant,24,mid,How do you manage petty cash?
Finance / Accountant,Junior Accountant,25,mid,Scenario 25: How would you handle a unexpected expense?
Finance / Accountant,Junior Accountant,26,mid,How do you prepare basic financial statements?
Finance / Accountant,Junior Accountant,27,mid,Scenario 9: How would you handle a regulatory change?
Finance / Accountant,Junior Accountant,28,mid,Scenario 7: How would you handle a audit finding?
Finance / Accountant,Junior Accountant,29,mid,Scenario 24: How would you handle a regulatory change?
Finance / Accountant,Junior Accountant,30,mid,Scenario 20: How would you handle a unexpected expense?
Finance / Accountant,Junior Accountant,31,mid,What is the role of a Junior Accountant?
Finance / Accountant,Junior Accountant,32,mid,What is your experience with budgeting?
Finance / Accountant,Junior Accountant,33,mid,Scenario 21: How would you handle a cash flow shortage?
Finance / Accountant,Junior Accountant,34,mid,Scenario 8: How would you handle a regulatory change?
Finance / Accountant,Junior Accountant,35,mid,What is accrual accounting?
Finance / Accountant,Junior Accountant,36,mid,How do you prepare monthly financial statements?
