Main Role,Sub Role,Question number,difficulty,question
Marketing Executive / Digital Marketing Specialist,Marketing Associate,1,easy,Scenario 10: How would you use Email marketing to improve engagement?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,2,easy,Scenario 25: How would you use PPC marketing to increase leads?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,3,easy,Scenario 17: How would you use SEO marketing to boost conversions?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,4,easy,How do you use Google Analytics to analyze campaigns?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,5,easy,What is influencer marketing?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,6,easy,What is programmatic advertising?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,7,easy,Scenario 18: How would you use Email marketing to reduce bounce rate?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,8,easy,Scenario 4: How would you use Social Media marketing to improve engagement?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,9,easy,Scenario 21: How would you use Social Media marketing to improve engagement?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,10,easy,What is conversion rate optimization (CRO)?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,11,easy,Scenario 14: How would you use Content marketing to increase leads?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,12,easy,What is A/B testing?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,13,easy,What is remarketing?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,14,easy,What is a marketing funnel?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,15,easy,Scenario 15: How would you use PPC marketing to improve engagement?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,16,easy,What is the difference between SEO and SEM?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,17,easy,What is social media engagement?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,18,easy,What are backlinks and why are they important?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,19,mid,Scenario 2: How would you use Email marketing to reduce bounce rate?
Marketing Executive / Digital Marketing Specialist,Marketing Associate,20,mid,What is content marketing?
