Main Role,Sub Role,Question number,difficulty,question
Product Manager,Associate Product Manager,1,easy,"In the context of Associate Product Manager, how would you handle user research basics? (Scenario 1)"
Product Manager,Associate Product Manager,2,easy,"In the context of Associate Product Manager, how would you handle writing user stories? (Scenario 2)"
Product Manager,Associate Product Manager,3,easy,"In the context of Associate Product Manager, how would you handle competitive analysis? (Scenario 3)"
Product Manager,Associate Product Manager,4,easy,"In the context of Associate Product Manager, how would you handle roadmap support? (Scenario 4)"
Product Manager,Associate Product Manager,5,easy,"In the context of Associate Product Manager, how would you handle data analysis basics? (Scenario 5)"
Product Manager,Associate Product Manager,6,easy,"In the context of Associate Product Manager, how would you handle working with design? (Scenario 6)"
Product Manager,Associate Product Manager,7,easy,"In the context of Associate Product Manager, how would you handle working with engineering? (Scenario 7)"
Product Manager,Associate Product Manager,8,easy,"In the context of Associate Product Manager, how would you handle QA and UAT participation? (Scenario 8)"
Product Manager,Associate Product Manager,9,easy,"In the context of Associate Product Manager, how would you handle feature prioritization basics? (Scenario 9)"
Product Manager,Associate Product Manager,10,easy,"In the context of Associate Product Manager, how would you handle stakeholder communication? (Scenario 10)"
Product Manager,Associate Product Manager,11,easy,"In the context of Associate Product Manager, how would you handle user research basics? (Scenario 11)"
Product Manager,Associate Product Manager,12,easy,"In the context of Associate Product Manager, how would you handle writing user stories? (Scenario 12)"
Product Manager,Associate Product Manager,13,easy,"In the context of Associate Product Manager, how would you handle competitive analysis? (Scenario 13)"
Product Manager,Associate Product Manager,14,easy,"In the context of Associate Product Manager, how would you handle roadmap support? (Scenario 14)"
Product Manager,Associate Product Manager,15,easy,"In the context of Associate Product Manager, how would you handle data analysis basics? (Scenario 15)"
Product Manager,Associate Product Manager,16,easy,"In the context of Associate Product Manager, how would you handle working with design? (Scenario 16)"
Product Manager,Associate Product Manager,17,easy,"In the context of Associate Product Manager, how would you handle working with engineering? (Scenario 17)"
Product Manager,Associate Product Manager,18,easy,"In the context of Associate Product Manager, how would you handle QA and UAT participation? (Scenario 18)"
Product Manager,Associate Product Manager,19,easy,"In the context of Associate Product Manager, how would you handle feature prioritization basics? (Scenario 19)"
Product Manager,Associate Product Manager,20,easy,"In the context of Associate Product Manager, how would you handle stakeholder communication? (Scenario 20)"
Product Manager,Associate Product Manager,21,mid,"In the context of Associate Product Manager, how would you handle user research basics? (Scenario 21)"
Product Manager,Associate Product Manager,22,mid,"In the context of Associate Product Manager, how would you handle writing user stories? (Scenario 22)"
Product Manager,Associate Product Manager,23,mid,"In the context of Associate Product Manager, how would you handle competitive analysis? (Scenario 23)"
Product Manager,Associate Product Manager,24,mid,"In the context of Associate Product Manager, how would you handle roadmap support? (Scenario 24)"
Product Manager,Associate Product Manager,25,mid,"In the context of Associate Product Manager, how would you handle data analysis basics? (Scenario 25)"
Product Manager,Associate Product Manager,26,mid,"In the context of Associate Product Manager, how would you handle working with design? (Scenario 26)"
Product Manager,Associate Product Manager,27,mid,"In the context of Associate Product Manager, how would you handle working with engineering? (Scenario 27)"
Product Manager,Associate Product Manager,28,mid,"In the context of Associate Product Manager, how would you handle QA and UAT participation? (Scenario 28)"
Product Manager,Associate Product Manager,29,mid,"In the context of Associate Product Manager, how would you handle feature prioritization basics? (Scenario 29)"
Product Manager,Associate Product Manager,30,mid,"In the context of Associate Product Manager, how would you handle stakeholder communication? (Scenario 30)"
Product Manager,Associate Product Manager,31,mid,"In the context of Associate Product Manager, how would you handle user research basics? (Scenario 31)"
