Main Role,Sub Role,Question number,difficulty,question
Project Manager,Associate Project Manager,1,easy,"As an Associate Project Manager, how would you prioritize daily tasks for a small cross-functional team when everything seems urgent? (Scenario 1)"
Project Manager,Associate Project Manager,2,easy,Describe how you would write a concise status update email to a project stakeholder who needs high-level information only. (Scenario 2)
Project Manager,Associate Project Manager,3,easy,How would you coordinate calendars to schedule a critical design review involving multiple teams? (Scenario 3)
Project Manager,Associate Project Manager,4,easy,Explain the steps you would take to escalate a blocking issue that prevents progress on a sprint task. (Scenario 4)
Project Manager,Associate Project Manager,5,easy,What techniques do you use to keep daily stand-ups under 15 minutes and focused? (Scenario 5)
Project Manager,Associate Project Manager,6,easy,Give three common low-level risks in a software development project and how you would document them. (Scenario 6)
Project Manager,Associate Project Manager,7,easy,How would you prepare a one-page weekly status report for your manager? (Scenario 7)
Project Manager,Associate Project Manager,8,easy,Describe how you would create and assign tasks in Jira and track their progress. (Scenario 8)
Project Manager,Associate Project Manager,9,easy,How do you ensure the team is using the latest version of project documentation and avoid conflicting edits? (Scenario 9)
Project Manager,Associate Project Manager,10,easy,"When supporting a senior project manager, how do you clarify responsibilities and handoffs for administrative tasks? (Scenario 10)"
Project Manager,Associate Project Manager,11,easy,"As an Associate Project Manager, how would you prioritize daily tasks for a small cross-functional team when everything seems urgent? (Scenario 11)"
Project Manager,Associate Project Manager,12,easy,Describe how you would write a concise status update email to a project stakeholder who needs high-level information only. (Scenario 12)
Project Manager,Associate Project Manager,13,easy,How would you coordinate calendars to schedule a critical design review involving multiple teams? (Scenario 13)
Project Manager,Associate Project Manager,14,easy,Explain the steps you would take to escalate a blocking issue that prevents progress on a sprint task. (Scenario 14)
Project Manager,Associate Project Manager,15,easy,What techniques do you use to keep daily stand-ups under 15 minutes and focused? (Scenario 15)
Project Manager,Associate Project Manager,16,easy,Give three common low-level risks in a software development project and how you would document them. (Scenario 16)
Project Manager,Associate Project Manager,17,easy,How would you prepare a one-page weekly status report for your manager? (Scenario 17)
Project Manager,Associate Project Manager,18,easy,Describe how you would create and assign tasks in Jira and track their progress. (Scenario 18)
Project Manager,Associate Project Manager,19,easy,How do you ensure the team is using the latest version of project documentation and avoid conflicting edits? (Scenario 19)
Project Manager,Associate Project Manager,20,easy,"When supporting a senior project manager, how do you clarify responsibilities and handoffs for administrative tasks? (Scenario 20)"
Project Manager,Associate Project Manager,21,mid,"As an Associate Project Manager, how would you prioritize daily tasks for a small cross-functional team when everything seems urgent? (Scenario 21)"
Project Manager,Associate Project Manager,22,mid,Describe how you would write a concise status update email to a project stakeholder who needs high-level information only. (Scenario 22)
Project Manager,Associate Project Manager,23,mid,How would you coordinate calendars to schedule a critical design review involving multiple teams? (Scenario 23)
Project Manager,Associate Project Manager,24,mid,Explain the steps you would take to escalate a blocking issue that prevents progress on a sprint task. (Scenario 24)
Project Manager,Associate Project Manager,25,mid,What techniques do you use to keep daily stand-ups under 15 minutes and focused? (Scenario 25)
Project Manager,Associate Project Manager,26,mid,Give three common low-level risks in a software development project and how you would document them. (Scenario 26)
Project Manager,Associate Project Manager,27,mid,How would you prepare a one-page weekly status report for your manager? (Scenario 27)
Project Manager,Associate Project Manager,28,mid,Describe how you would create and assign tasks in Jira and track their progress. (Scenario 28)
Project Manager,Associate Project Manager,29,mid,How do you ensure the team is using the latest version of project documentation and avoid conflicting edits? (Scenario 29)
Project Manager,Associate Project Manager,30,mid,"When supporting a senior project manager, how do you clarify responsibilities and handoffs for administrative tasks? (Scenario 30)"
Project Manager,Associate Project Manager,31,mid,"As an Associate Project Manager, how would you prioritize daily tasks for a small cross-functional team when everything seems urgent? (Scenario 31)"
Project Manager,Associate Project Manager,32,mid,Describe how you would write a concise status update email to a project stakeholder who needs high-level information only. (Scenario 32)
Project Manager,Associate Project Manager,33,mid,How would you coordinate calendars to schedule a critical design review involving multiple teams? (Scenario 33)
Project Manager,Associate Project Manager,34,mid,Explain the steps you would take to escalate a blocking issue that prevents progress on a sprint task. (Scenario 34)
Project Manager,Associate Project Manager,35,mid,What techniques do you use to keep daily stand-ups under 15 minutes and focused? (Scenario 35)
Project Manager,Associate Project Manager,36,mid,Give three common low-level risks in a software development project and how you would document them. (Scenario 36)
Project Manager,Associate Project Manager,37,mid,How would you prepare a one-page weekly status report for your manager? (Scenario 37)
Project Manager,Associate Project Manager,38,mid,Describe how you would create and assign tasks in Jira and track their progress. (Scenario 38)
Project Manager,Associate Project Manager,39,mid,How do you ensure the team is using the latest version of project documentation and avoid conflicting edits? (Scenario 39)
Project Manager,Associate Project Manager,40,mid,"When supporting a senior project manager, how do you clarify responsibilities and handoffs for administrative tasks? (Scenario 40)"
Project Manager,Associate Project Manager,41,high,"As an Associate Project Manager, how would you prioritize daily tasks for a small cross-functional team when everything seems urgent? (Scenario 41)"
Project Manager,Associate Project Manager,42,high,Describe how you would write a concise status update email to a project stakeholder who needs high-level information only. (Scenario 42)
Project Manager,Associate Project Manager,43,high,How would you coordinate calendars to schedule a critical design review involving multiple teams? (Scenario 43)
Project Manager,Associate Project Manager,44,high,Explain the steps you would take to escalate a blocking issue that prevents progress on a sprint task. (Scenario 44)
Project Manager,Associate Project Manager,45,high,What techniques do you use to keep daily stand-ups under 15 minutes and focused? (Scenario 45)
Project Manager,Associate Project Manager,46,high,Give three common low-level risks in a software development project and how you would document them. (Scenario 46)
Project Manager,Associate Project Manager,47,high,How would you prepare a one-page weekly status report for your manager? (Scenario 47)
Project Manager,Associate Project Manager,48,high,Describe how you would create and assign tasks in Jira and track their progress. (Scenario 48)
Project Manager,Associate Project Manager,49,high,How do you ensure the team is using the latest version of project documentation and avoid conflicting edits? (Scenario 49)
Project Manager,Associate Project Manager,50,high,"When supporting a senior project manager, how do you clarify responsibilities and handoffs for administrative tasks? (Scenario 50)"
Project Manager,Project Manager,1,easy,Walk me through how you'd create a project plan for a medium-sized software implementation. Include milestones and estimation approach. (Scenario 1)
Project Manager,Project Manager,2,easy,"How do you create and maintain a project budget, and what steps would you take if the project is 10% over budget? (Scenario 2)"
Project Manager,Project Manager,3,easy,Describe your approach to managing conflicting stakeholder priorities during a product launch. (Scenario 3)
Project Manager,Project Manager,4,easy,How would you handle scope creep mid-project when a key stakeholder requests new functionality? (Scenario 4)
Project Manager,Project Manager,5,easy,Explain the change control process you implement on projects to evaluate and approve scope changes. (Scenario 5)
Project Manager,Project Manager,6,easy,"Describe your method for identifying, assessing, and mitigating high-impact project risks. (Scenario 6)"
Project Manager,Project Manager,7,easy,How do you allocate shared resources across concurrent projects to avoid overcommitment? (Scenario 7)
Project Manager,Project Manager,8,easy,What factors influence your decision to run a project using Agile methodologies vs Waterfall? (Scenario 8)
Project Manager,Project Manager,9,easy,How do you define 'done' and ensure deliverables meet acceptance criteria? (Scenario 9)
Project Manager,Project Manager,10,easy,Describe how you evaluate and manage third-party vendors during project execution. (Scenario 10)
Project Manager,Project Manager,11,easy,Walk me through how you'd create a project plan for a medium-sized software implementation. Include milestones and estimation approach. (Scenario 11)
Project Manager,Project Manager,12,easy,"How do you create and maintain a project budget, and what steps would you take if the project is 10% over budget? (Scenario 12)"
Project Manager,Project Manager,13,easy,Describe your approach to managing conflicting stakeholder priorities during a product launch. (Scenario 13)
Project Manager,Project Manager,14,easy,How would you handle scope creep mid-project when a key stakeholder requests new functionality? (Scenario 14)
Project Manager,Project Manager,15,easy,Explain the change control process you implement on projects to evaluate and approve scope changes. (Scenario 15)
Project Manager,Project Manager,16,easy,"Describe your method for identifying, assessing, and mitigating high-impact project risks. (Scenario 16)"
Project Manager,Project Manager,17,easy,How do you allocate shared resources across concurrent projects to avoid overcommitment? (Scenario 17)
Project Manager,Project Manager,18,easy,What factors influence your decision to run a project using Agile methodologies vs Waterfall? (Scenario 18)
Project Manager,Project Manager,19,easy,How do you define 'done' and ensure deliverables meet acceptance criteria? (Scenario 19)
Project Manager,Project Manager,20,easy,Describe how you evaluate and manage third-party vendors during project execution. (Scenario 20)
Project Manager,Project Manager,21,mid,Walk me through how you'd create a project plan for a medium-sized software implementation. Include milestones and estimation approach. (Scenario 21)
Project Manager,Project Manager,22,mid,"How do you create and maintain a project budget, and what steps would you take if the project is 10% over budget? (Scenario 22)"
Project Manager,Project Manager,23,mid,Describe your approach to managing conflicting stakeholder priorities during a product launch. (Scenario 23)
Project Manager,Project Manager,24,mid,How would you handle scope creep mid-project when a key stakeholder requests new functionality? (Scenario 24)
Project Manager,Project Manager,25,mid,Explain the change control process you implement on projects to evaluate and approve scope changes. (Scenario 25)
Project Manager,Project Manager,26,mid,"Describe your method for identifying, assessing, and mitigating high-impact project risks. (Scenario 26)"
Project Manager,Project Manager,27,mid,How do you allocate shared resources across concurrent projects to avoid overcommitment? (Scenario 27)
Project Manager,Project Manager,28,mid,What factors influence your decision to run a project using Agile methodologies vs Waterfall? (Scenario 28)
Project Manager,Project Manager,29,mid,How do you define 'done' and ensure deliverables meet acceptance criteria? (Scenario 29)
Project Manager,Project Manager,30,mid,Describe how you evaluate and manage third-party vendors during project execution. (Scenario 30)
Project Manager,Project Manager,31,mid,Walk me through how you'd create a project plan for a medium-sized software implementation. Include milestones and estimation approach. (Scenario 31)
Project Manager,Project Manager,32,mid,"How do you create and maintain a project budget, and what steps would you take if the project is 10% over budget? (Scenario 32)"
Project Manager,Project Manager,33,mid,Describe your approach to managing conflicting stakeholder priorities during a product launch. (Scenario 33)
Project Manager,Project Manager,34,mid,How would you handle scope creep mid-project when a key stakeholder requests new functionality? (Scenario 34)
Project Manager,Project Manager,35,mid,Explain the change control process you implement on projects to evaluate and approve scope changes. (Scenario 35)
Project Manager,Project Manager,36,mid,"Describe your method for identifying, assessing, and mitigating high-impact project risks. (Scenario 36)"
Project Manager,Project Manager,37,mid,How do you allocate shared resources across concurrent projects to avoid overcommitment? (Scenario 37)
Project Manager,Project Manager,38,mid,What factors influence your decision to run a project using Agile methodologies vs Waterfall? (Scenario 38)
Project Manager,Project Manager,39,mid,How do you define 'done' and ensure deliverables meet acceptance criteria? (Scenario 39)
Project Manager,Project Manager,40,mid,Describe how you evaluate and manage third-party vendors during project execution. (Scenario 40)
Project Manager,Project Manager,41,high,Walk me through how you'd create a project plan for a medium-sized software implementation. Include milestones and estimation approach. (Scenario 41)
Project Manager,Project Manager,42,high,"How do you create and maintain a project budget, and what steps would you take if the project is 10% over budget? (Scenario 42)"
Project Manager,Project Manager,43,high,Describe your approach to managing conflicting stakeholder priorities during a product launch. (Scenario 43)
Project Manager,Project Manager,44,high,How would you handle scope creep mid-project when a key stakeholder requests new functionality? (Scenario 44)
Project Manager,Project Manager,45,high,Explain the change control process you implement on projects to evaluate and approve scope changes. (Scenario 45)
Project Manager,Project Manager,46,high,"Describe your method for identifying, assessing, and mitigating high-impact project risks. (Scenario 46)"
Project Manager,Project Manager,47,high,How do you allocate shared resources across concurrent projects to avoid overcommitment? (Scenario 47)
Project Manager,Project Manager,48,high,What factors influence your decision to run a project using Agile methodologies vs Waterfall? (Scenario 48)
Project Manager,Project Manager,49,high,How do you define 'done' and ensure deliverables meet acceptance criteria? (Scenario 49)
Project Manager,Project Manager,50,high,Describe how you evaluate and manage third-party vendors during project execution. (Scenario 50)
Project Manager,Senior Project Manager,1,easy,How do you ensure multiple projects under your leadership align to the organization's strategic objectives? (Scenario 1)
Project Manager,Senior Project Manager,2,easy,Give an example of negotiating a major scope trade-off between two executive stakeholders—what was your approach? (Scenario 2)
Project Manager,Senior Project Manager,3,easy,Describe how you manage dependencies and sequencing across several interdependent projects. (Scenario 3)
Project Manager,Senior Project Manager,4,easy,"When a project misses a critical milestone, how do you prepare for and lead an executive escalation meeting? (Scenario 4)"
Project Manager,Senior Project Manager,5,easy,How do you assess which ongoing projects should be paused or accelerated when the company faces budget constraints? (Scenario 5)
Project Manager,Senior Project Manager,6,easy,How do you mentor junior PMs and build project management capability in the organization? (Scenario 6)
Project Manager,Senior Project Manager,7,easy,"Explain your process for modeling, tracking, and mitigating complex cross-project risks and dependencies. (Scenario 7)"
Project Manager,Senior Project Manager,8,easy,What approach do you take when negotiating contract terms that include service-level penalties? (Scenario 8)
Project Manager,Senior Project Manager,9,easy,How would you manage a project that must comply with new regulatory requirements introduced mid-delivery? (Scenario 9)
Project Manager,Senior Project Manager,10,easy,Describe a structured lessons-learned process you would run after project closeout to drive continuous improvement. (Scenario 10)
Project Manager,Senior Project Manager,11,easy,How do you ensure multiple projects under your leadership align to the organization's strategic objectives? (Scenario 11)
Project Manager,Senior Project Manager,12,easy,Give an example of negotiating a major scope trade-off between two executive stakeholders—what was your approach? (Scenario 12)
Project Manager,Senior Project Manager,13,easy,Describe how you manage dependencies and sequencing across several interdependent projects. (Scenario 13)
Project Manager,Senior Project Manager,14,easy,"When a project misses a critical milestone, how do you prepare for and lead an executive escalation meeting? (Scenario 14)"
Project Manager,Senior Project Manager,15,easy,How do you assess which ongoing projects should be paused or accelerated when the company faces budget constraints? (Scenario 15)
Project Manager,Senior Project Manager,16,easy,How do you mentor junior PMs and build project management capability in the organization? (Scenario 16)
Project Manager,Senior Project Manager,17,easy,"Explain your process for modeling, tracking, and mitigating complex cross-project risks and dependencies. (Scenario 17)"
Project Manager,Senior Project Manager,18,easy,What approach do you take when negotiating contract terms that include service-level penalties? (Scenario 18)
Project Manager,Senior Project Manager,19,easy,How would you manage a project that must comply with new regulatory requirements introduced mid-delivery? (Scenario 19)
Project Manager,Senior Project Manager,20,easy,Describe a structured lessons-learned process you would run after project closeout to drive continuous improvement. (Scenario 20)
Project Manager,Senior Project Manager,21,mid,How do you ensure multiple projects under your leadership align to the organization's strategic objectives? (Scenario 21)
