Main Role,Sub Role,Question number,difficulty,question
System Administrator,Junior System Administrator,1,easy,What is DNS and why is it important?
System Administrator,Junior System Administrator,2,easy,You are managing a file server. How would you troubleshoot high CPU usage? (Scenario 12)
System Administrator,Junior System Administrator,3,easy,You are managing a database server. How would you troubleshoot disk failure? (Scenario 23)
System Administrator,Junior System Administrator,4,easy,You are managing a domain controller. How would you troubleshoot unauthorized login attempts? (Scenario 8)
System Administrator,Junior System Administrator,5,easy,You are managing a file server. How would you troubleshoot network latency? (Scenario 13)
System Administrator,Junior System Administrator,6,easy,You are managing a web server. How would you troubleshoot disk failure? (Scenario 25)
System Administrator,Junior System Administrator,7,easy,You are managing a domain controller. How would you troubleshoot unauthorized login attempts? (Scenario 16)
System Administrator,Junior System Administrator,8,easy,You are managing a domain controller. How would you troubleshoot network latency? (Scenario 15)
System Administrator,Junior System Administrator,9,easy,What is SNMP and how is it used?
System Administrator,Junior System Administrator,10,easy,Explain DHCP and its role in networking.
System Administrator,Junior System Administrator,11,easy,What is SSH and why is it important?
System Administrator,Junior System Administrator,12,easy,What are RAID levels and why are they used?
System Administrator,Junior System Administrator,13,easy,How do you apply system updates?
System Administrator,Junior System Administrator,14,easy,Explain IPv4 vs IPv6.
System Administrator,Junior System Administrator,15,easy,You are managing a web server. How would you troubleshoot unauthorized login attempts? (Scenario 17)
System Administrator,Junior System Administrator,16,easy,Explain the OSI model layers.
System Administrator,Junior System Administrator,17,easy,How do you restore a deleted file from backup?
System Administrator,Junior System Administrator,18,easy,What is a firewall and how does it work?
System Administrator,Junior System Administrator,19,mid,You are managing a web server. How would you troubleshoot high CPU usage? (Scenario 6)
System Administrator,Junior System Administrator,20,mid,You are managing a file server. How would you troubleshoot network latency? (Scenario 18)
System Administrator,Junior System Administrator,21,mid,How do you join a computer to a domain?
System Administrator,Junior System Administrator,22,mid,How do you reset a user password in Active Directory?
System Administrator,Junior System Administrator,23,mid,You are managing a file server. How would you troubleshoot high CPU usage? (Scenario 11)
System Administrator,Junior System Administrator,24,mid,You are managing a database server. How would you troubleshoot disk failure? (Scenario 9)
System Administrator,Junior System Administrator,25,mid,What is PowerShell and why is it used?
System Administrator,Junior System Administrator,26,mid,You are managing a domain controller. How would you troubleshoot network latency? (Scenario 24)
System Administrator,Junior System Administrator,27,mid,You are managing a web server. How would you troubleshoot disk failure? (Scenario 2)
System Administrator,Junior System Administrator,28,mid,What is Active Directory used for?
System Administrator,Junior System Administrator,29,mid,You are managing a file server. How would you troubleshoot network latency? (Scenario 1)
System Administrator,Junior System Administrator,30,mid,You are managing a database server. How would you troubleshoot disk failure? (Scenario 5)
System Administrator,Junior System Administrator,31,mid,You are managing a database server. How would you troubleshoot network latency? (Scenario 4)
System Administrator,Junior System Administrator,32,mid,You are managing a web server. How would you troubleshoot unauthorized login attempts? (Scenario 3)
System Administrator,Junior System Administrator,33,mid,What are Group Policies in Windows?
System Administrator,Junior System Administrator,34,mid,You are managing a web server. How would you troubleshoot network latency? (Scenario 10)
System Administrator,Junior System Administrator,35,mid,What is virtualization and why is it useful?
System Administrator,Junior System Administrator,36,mid,You are managing a file server. How would you troubleshoot network latency? (Scenario 14)
System Administrator,Junior System Administrator,37,mid,What is the difference between TCP and UDP?
System Administrator,Junior System Administrator,38,mid,How do you configure remote desktop securely?
System Administrator,Junior System Administrator,39,high,What is the difference between a domain and a workgroup?
System Administrator,Junior System Administrator,40,high,You are managing a web server. How would you troubleshoot disk failure? (Scenario 21)
System Administrator,Junior System Administrator,41,high,"How do you monitor server CPU, memory, and disk usage?"
System Administrator,Junior System Administrator,42,high,How do you troubleshoot a PC that cannot access the internet?
System Administrator,Junior System Administrator,43,high,How do you schedule a task in Windows Task Scheduler?
System Administrator,Junior System Administrator,44,high,You are managing a domain controller. How would you troubleshoot unauthorized login attempts? (Scenario 19)
System Administrator,Junior System Administrator,45,high,You are managing a web server. How would you troubleshoot disk failure? (Scenario 20)
System Administrator,Junior System Administrator,46,high,How do you check disk usage on Windows and Linux?
System Administrator,Junior System Administrator,47,high,You are managing a domain controller. How would you troubleshoot network latency? (Scenario 7)
